"CodesAndRegsLicenseDataID","LicenseID","Description","LicenseName","Location","StreetNumber","Prefix","StreetName","Suffix","Longitude","Latitude","ExpirationDate","SubType","SubDescription","IssueDate","Zip","DISTRICT","NEIGHBORHOOD","ZONING","EndorsementType","EndorsementTypeDescription","EndorsementStatusDescription","EndorsementIssuedDate","AGENCY","GPSX","GPSY"
"11","5875","Alcoholic Beverage Annual","LEBANESE AMERICAN COUNTRY CLUB","3020 RIVER RD ","3020"," ","RIVER","RD","-85.696449675099998","38.278283133899997","2019-05-31 00:00:00","CLB","Country Club","2004-08-25 10:47:00","40207","09","REMAINDER OF CITY","R5","SD","Sunday Drink","ACTIVE","","Codes and Regulations","1225213","286681"
"12","13885","Alcoholic Beverage Annual","GOODWOOD BREWING COMPANY","636 E MAIN ST ","636","E","MAIN","ST","-85.740068398600002","38.254635338999996","2018-11-30 00:00:00","MAN","Manufacturer","2005-03-22 13:56:00","40202","04","REMAINDER OF CITY","EZ1","LD","Quota Retail Drink","ACTIVE","","Codes and Regulations","1212554","278270"
"13","5877","Alcoholic Beverage Annual","PORCINI","2730 FRANKFORT AVE ","2730"," ","FRANKFORT","AVE","-85.692445884500003","38.254576811","2018-09-30 00:00:00","RST","Restaurant / Cafe","2004-08-25 10:54:00","40206","09","CRESCENT HILL","C1","RLD","NQ2 Retail Drink (Restaurant)","ACTIVE","","Codes and Regulations","1226227","278031"
"14","14ABC1119","Alcoholic Beverage Annual","AGAINST THE GRAIN MICROBREWERY","1800 NORTHWESTERN PKY ","1800"," ","NORTHWESTERN","PKY","-85.776725389700005","38.265875231800003","2018-10-31 00:00:00","MAN","Manufacturer","2014-09-04 11:15:38","40203","05","PORTLAND","EZ1","MBCO","NQ Retail Malt Beverage Combo (Package and Drink)","ACTIVE","","Codes and Regulations","1202097","282535"
"15","15ABC1134","Alcoholic Beverage Annual","LE MOO","2300 LEXINGTON RD ","2300"," ","LEXINGTON","RD","-85.703500029599994","38.245157112400001","2018-09-30 00:00:00","RST","Restaurant / Cafe","2015-09-09 08:29:57","40206","08","IRISH HILL","C2","RLD","NQ2 Retail Drink (Restaurant)","ACTIVE","2015-09-09 08:29:57","Codes and Regulations","1222999","274651"
"16","15ABC1093","Alcoholic Beverage Annual","PASSALINO'S","207 W MARKET ST ","207","W","MARKET","ST","-85.753798659300003","38.255173419499997","2018-11-30 00:00:00","RST","Restaurant / Cafe","2015-08-05 13:10:46","40202","04","CENTRAL BUSINESS DISTRICT","(C3)","LD4","Quota Retail Drink (12 AM - 4 AM)","ACTIVE","2015-08-05 13:10:46","Codes and Regulations","1208615","278530"
"17","20183","Alcoholic Beverage Annual","WILTSHIRE PANTRY","1310 E BRECKINRIDGE ST ","1310","E","BRECKINRIDGE","ST","-85.730733064000006","38.240398832799997","2018-10-31 00:00:00","RST","Restaurant / Cafe","2008-02-25 08:27:21","40204","04","HIGHLANDS","CR","SD","Sunday Drink","ACTIVE","","Codes and Regulations","1215151","273043"
"18","15ABC1097","Alcoholic Beverage Annual","WALGREENS #12321","700 ALGONQUIN PKY ","700"," ","ALGONQUIN","PKY","-85.770335451999998","38.2112451255","2018-08-31 00:00:00","DRG","Drug Store","2015-07-29 18:24:47","40208","06","TAYLOR BERRY","C1","LP","Quota Retail Package","ACTIVE","2015-07-29 18:24:47","Codes and Regulations","1203603","262613"
"19","5898","Alcoholic Beverage Annual","SPRING STREET - A BAR & GRILL","300 S SPRING ST ","300","S","SPRING","ST","-85.719003440799995","38.251340160399998","2018-09-30 00:00:00","BAR","Bar","2004-08-25 13:05:00","40206","09","IRISH HILL","C1","LD","Quota Retail Drink","ACTIVE","","Codes and Regulations","1218583","276973"
"20","5898","Alcoholic Beverage Annual","SPRING STREET - A BAR & GRILL","300 S SPRING ST ","300","S","SPRING","ST","-85.719003440799995","38.251340160399998","2018-09-30 00:00:00","BAR","Bar","2004-08-25 13:05:00","40206","09","IRISH HILL","C1","LD4","Quota Retail Drink (12 AM - 4 AM)","ACTIVE","","Codes and Regulations","1218583","276973"
"21","15ABC1100","Alcoholic Beverage Annual","WALGREENS #05436","4025 TAYLORSVILLE RD ","4025"," ","TAYLORSVILLE","RD","-85.624090340799995","38.220267387299998","2018-08-31 00:00:00","DRG","Drug Store","2015-07-29 17:45:21","40220","11","HIKES POINT","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","2015-07-29 17:45:21","Codes and Regulations","1245667","265238"
"22","5898","Alcoholic Beverage Annual","SPRING STREET - A BAR & GRILL","300 S SPRING ST ","300","S","SPRING","ST","-85.719003440799995","38.251340160399998","2018-09-30 00:00:00","BAR","Bar","2004-08-25 13:05:00","40206","09","IRISH HILL","C1","SD","Sunday Drink","ACTIVE","","Codes and Regulations","1218583","276973"
"23","15ABC1102","Alcoholic Beverage Annual","WALGREENS #11665","4310 OUTER LOOP ","4310"," ","OUTER","LOOP","-85.680538214699993","38.137539212100002","2018-08-31 00:00:00","DRG","Drug Store","2015-07-29 15:49:34","40219","24","","C1","LP","Quota Retail Package","ACTIVE","2015-07-29 15:49:00","Codes and Regulations","1228984","235362"
"24","5911","Alcoholic Beverage Annual","THE IRISH ROVER","2319 FRANKFORT AVE ","2319"," ","FRANKFORT","AVE","-85.702465022599995","38.2536534575","2018-09-30 00:00:00","RST","Restaurant / Cafe","2004-08-25 14:21:00","40206","09","CLIFTON","C2","RLD","NQ2 Retail Drink (Restaurant)","ACTIVE","","Codes and Regulations","1223345","277740"
"25","5911","Alcoholic Beverage Annual","THE IRISH ROVER","2319 FRANKFORT AVE ","2319"," ","FRANKFORT","AVE","-85.702465022599995","38.2536534575","2018-09-30 00:00:00","RST","Restaurant / Cafe","2004-08-25 14:21:00","40206","09","CLIFTON","C2","SD","Sunday Drink","ACTIVE","","Codes and Regulations","1223345","277740"
"26","5912","Alcoholic Beverage Annual","TWIN DIXIE LANES","10526 DIXIE HWY ","10526"," ","DIXIE","HWY","-85.871247315199994","38.102423853300003","2018-09-30 00:00:00","AMU","Amusement","2004-08-25 14:27:00","40272","14","","C2","LD","Quota Retail Drink","ACTIVE","","Codes and Regulations","1173915","223485"
"27","5912","Alcoholic Beverage Annual","TWIN DIXIE LANES","10526 DIXIE HWY ","10526"," ","DIXIE","HWY","-85.871247315199994","38.102423853300003","2018-09-30 00:00:00","AMU","Amusement","2004-08-25 14:27:00","40272","14","","C2","LD4","Quota Retail Drink (12 AM - 4 AM)","ACTIVE","","Codes and Regulations","1173915","223485"
"28","5912","Alcoholic Beverage Annual","TWIN DIXIE LANES","10526 DIXIE HWY ","10526"," ","DIXIE","HWY","-85.871247315199994","38.102423853300003","2018-09-30 00:00:00","AMU","Amusement","2004-08-25 14:27:00","40272","14","","C2","SD","Sunday Drink","ACTIVE","","Codes and Regulations","1173915","223485"
"29","5913","Alcoholic Beverage Annual","VALLEY LIQUORS","10608 DIXIE HWY ","10608"," ","DIXIE","HWY","-85.871409459600002","38.100809422700003","2018-09-30 00:00:00","LIQ","Liquor Store","2004-08-25 14:36:00","40272","14","","C2","LP","Quota Retail Package","ACTIVE","","Codes and Regulations","1173858","222898"
"30","16ABC1018","Alcoholic Beverage Annual","BIRRACIBO","445 S 4TH ST ","445","S","4TH","ST","-85.757200002499999","38.251746045399997","2018-11-30 00:00:00","RST","Restaurant / Cafe","2016-02-24 09:50:33","40202","04","CENTRAL BUSINESS DISTRICT","(C3)","LD","Quota Retail Drink","ACTIVE","","Codes and Regulations","1207618","277298"
"31","16ABC1027","Alcoholic Beverage Annual","WILTSHIRE AT THE SPEED","2035 S 3RD ST ","2035","S","3RD","ST","-85.760857879200003","38.217975987199999","2019-05-31 00:00:00","RST","Restaurant / Cafe","2016-02-18 14:53:50","40208","06","UNIVERSITY","OR2","CATE","Caterer","ACTIVE","2016-02-18 14:53:49","Codes and Regulations","1206366","265019"
"32","32685","Alcoholic Beverage Annual","DERBY CITY PIZZA COMPANY #2","5603 GREENWOOD RD ","5603"," ","GREENWOOD","RD","-85.859809954300005","38.144740477299997","2018-09-30 10:21:00","RST","Restaurant / Cafe","2011-07-06 09:06:00","40258","12","","C2","RLD2","NQ2 Restaurant Liquor Drink (12 am till 2 am)","ACTIVE","","Codes and Regulations","1177475","238835"
"33","5840","Alcoholic Beverage Annual","AUGUST MOON RESTAURANT","2269 LEXINGTON RD ","2269"," ","LEXINGTON","RD","-85.705189670400003","38.245885823899997","2018-09-30 00:00:00","RST","Restaurant / Cafe","2004-08-23 16:40:00","40206","09","IRISH HILL","C1","RLD","NQ2 Retail Drink (Restaurant)","ACTIVE","","Codes and Regulations","1222518","274924"
"34","5840","Alcoholic Beverage Annual","AUGUST MOON RESTAURANT","2269 LEXINGTON RD ","2269"," ","LEXINGTON","RD","-85.705189670400003","38.245885823899997","2018-09-30 00:00:00","RST","Restaurant / Cafe","2004-08-23 16:40:00","40206","09","IRISH HILL","C1","SD","Sunday Drink","ACTIVE","","Codes and Regulations","1222518","274924"
"35","15ABC1121","Alcoholic Beverage Annual","XSCAPE THEATERS","12450 SYCAMORE STATION PL ","12450"," ","SYCAMORE STATION","PL","-85.531570338400002","38.222352302200001","2019-02-28 00:00:00","AMU","Amusement","2015-09-16 09:45:42","40299","20","","C2","SD","Sunday Drink","ACTIVE","2015-09-16 09:45:42","Codes and Regulations","1272255","265614"
"36","5843","Alcoholic Beverage Annual","BLUE DOG BAKERY & CAFE","2868 FRANKFORT AVE ","2868"," ","FRANKFORT","AVE","-85.687399097899998","38.254570371500002","2018-09-30 00:00:00","BAR","Bar","2004-08-24 08:11:00","40206","09","CRESCENT HILL","C1","LD","Quota Retail Drink","ACTIVE","","Codes and Regulations","1227676","278006"
"37","33552","Alcoholic Beverage Annual","LOCKER ROOM BAR & GRILL","12812 DIXIE HWY ","12812"," ","DIXIE","HWY","-85.8853709638","38.069255098799999","2018-09-30 00:00:00","BAR","Bar","2011-10-14 10:04:00","40272","14","","C1","MBRD","NQ4 Retail Malt Beverage Drink","ACTIVE","","Codes and Regulations","1169637","211480"
"38","14ABC1130","Alcoholic Beverage Annual","TEA STATION CHINESE BISTRO","9422 NORTON COMMONS BLVD 101","9422"," ","NORTON COMMONS","BLVD","-85.565953071799996","38.324719084599998","2019-02-28 00:00:00","RST","Restaurant / Cafe","2014-09-15 09:07:55","40059","16","","PVD","RLD","NQ2 Retail Drink (Restaurant)","ACTIVE","","Codes and Regulations","1262911","303028"
"39","36433","Alcoholic Beverage Annual","NOWHERE LOUISVILLE","1133 BARDSTOWN RD ","1133"," ","BARDSTOWN","RD","-85.719347381399999","38.238043466400001","2018-10-31 00:00:00","BAR","Bar","2013-03-19 16:59:00","40204","08","CHEROKEE TRIANGLE","(C2)","MBRD4","NQ4 Retail Malt Beverage Drink (12 am till 4 am)","ACTIVE","","Codes and Regulations","1218407","272133"
"40","5847","Alcoholic Beverage Annual","BREWSKEE'S","5507 VALLEY STATION RD ","5507"," ","VALLEY STATION","RD","-85.865577219200006","38.107690654700001","2018-09-30 12:15:00","BAR","Bar","2004-08-24 08:49:00","40272","25","","C2","LD","Quota Retail Drink","ACTIVE","","Codes and Regulations","1175580","225374"
"41","15ABC1121","Alcoholic Beverage Annual","XSCAPE THEATERS","12450 SYCAMORE STATION PL ","12450"," ","SYCAMORE STATION","PL","-85.531570338400002","38.222352302200001","2019-02-28 00:00:00","AMU","Amusement","2015-09-16 09:45:42","40299","20","","C2","MBRD2","NQ4 Retail Malt Beverage Drink (12 am till 2 am)","ACTIVE","2015-09-16 09:45:42","Codes and Regulations","1272255","265614"
"42","5847","Alcoholic Beverage Annual","BREWSKEE'S","5507 VALLEY STATION RD ","5507"," ","VALLEY STATION","RD","-85.865577219200006","38.107690654700001","2018-09-30 12:15:00","BAR","Bar","2004-08-24 08:49:00","40272","25","","C2","SD","Sunday Drink","ACTIVE","","Codes and Regulations","1175580","225374"
"43","5848","Alcoholic Beverage Annual","BEVERAGE WORLD","2332 BROWNSBORO RD ","2332"," ","BROWNSBORO","RD","-85.701999994000005","38.258091841300001","2018-09-30 00:00:00","LIQ","Liquor Store","2004-08-24 09:00:00","40206","09","CLIFTON","C1","LP","Quota Retail Package","ACTIVE","","Codes and Regulations","1223504","279354"
"44","5849","Alcoholic Beverage Annual","CAPTAIN'S CELLAR","2915 BROWNSBORO RD ","2915"," ","BROWNSBORO","RD","-85.687700186800001","38.260279049399998","2018-09-30 00:00:00","LIQ","Liquor Store","2004-08-24 09:13:00","40206","09","BROWNSBORO ZORN","C1","LP","Quota Retail Package","ACTIVE","","Codes and Regulations","1227622","280086"
"45","16ABC1030","Alcoholic Beverage Annual","THE JOY LUCK","9850 VON ALLMEN CT 101","9850"," ","VON ALLMEN","CT","-85.569514534700005","38.312183432300003","2019-01-31 00:00:00","RST","Restaurant / Cafe","2016-05-24 09:28:28","40241","16","","C2","RLD","NQ2 Retail Drink (Restaurant)","ACTIVE","2016-05-24 09:28:27","Codes and Regulations","1261824","298478"
"46","16ABC1060","Alcoholic Beverage Annual","TAJ GALLERY","807 E MARKET ST ","807","E","MARKET","ST","-85.737650012499998","38.253383615799997","2018-09-30 00:00:00","BAR","Bar","2016-05-09 10:54:38","40206","04","REMAINDER OF CITY","EZ1","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","2016-05-09 10:54:38","Codes and Regulations","1213241","277803"
"47","16ABC1064","Alcoholic Beverage Annual","MOD PIZZA","3085 BRECKENRIDGE LN 101","3085"," ","BRECKENRIDGE","LN","-85.626783614600001","38.215613596399997","2019-01-31 00:00:00","RST","Restaurant / Cafe","2016-07-19 12:34:42","40220","26","","C1","SD","Sunday Drink","ACTIVE","2016-07-19 12:34:42","Codes and Regulations","1244868","263555"
"48","16ABC1065","Alcoholic Beverage Annual","KERN'S KORNER","2600 BARDSTOWN RD ","2600"," ","BARDSTOWN","RD","-85.683559740000007","38.222218964200003","2019-01-31 00:00:00","BAR","Bar","2016-05-23 11:59:42","40205","08","BELKNAP","(C2)","LD","Quota Retail Drink","ACTIVE","2016-05-23 11:59:42","Codes and Regulations","1228595","266209"
"49","16ABC1065","Alcoholic Beverage Annual","KERN'S KORNER","2600 BARDSTOWN RD ","2600"," ","BARDSTOWN","RD","-85.683559740000007","38.222218964200003","2019-01-31 00:00:00","BAR","Bar","2016-05-23 11:59:42","40205","08","BELKNAP","(C2)","MBRD","NQ4 Retail Malt Beverage Drink","ACTIVE","2016-05-23 11:59:42","Codes and Regulations","1228595","266209"
"50","16ABC1065","Alcoholic Beverage Annual","KERN'S KORNER","2600 BARDSTOWN RD ","2600"," ","BARDSTOWN","RD","-85.683559740000007","38.222218964200003","2019-01-31 00:00:00","BAR","Bar","2016-05-23 11:59:42","40205","08","BELKNAP","(C2)","SD","Sunday Drink","ACTIVE","2016-05-23 11:59:42","Codes and Regulations","1228595","266209"
"51","16ABC1067","Alcoholic Beverage Annual","DOLLAR GENERAL STORE 3302","8519 TERRY RD ","8519"," ","TERRY","RD","-85.873050383500001","38.130127052600002","2018-07-31 00:00:00","GRO","Grocery / Food Mart","2016-05-13 12:16:22","40258","14","","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","2016-05-13 12:16:22","Codes and Regulations","1173574","233581"
"52","5545","Alcoholic Beverage Annual","CIRCLE K #3238","5035 MUD LN ","5035"," ","MUD","LN","-85.670314661399999","38.093173094400001","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-08-02 08:51:00","40229","13","","C2","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1231675","219162"
"53","5546","Alcoholic Beverage Annual","THORNTON OIL #54","4154 BARDSTOWN RD ","4154"," ","BARDSTOWN","RD","-85.643333134000002","38.189346297","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-08-02 09:23:00","40218","02","","C1","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","","Codes and Regulations","1239969","254062"
"54","5548","Alcoholic Beverage Annual","THORNTON OIL #151","7920 BARDSTOWN RD ","7920"," ","BARDSTOWN","RD","-85.579373013799994","38.131505340799997","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-08-02 09:29:00","40291","22","","C1","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","","Codes and Regulations","1258046","232729"
"55","5568","Alcoholic Beverage Annual","THORNTON OIL #49","11710 DIXIE HWY ","11710"," ","DIXIE","HWY","-85.881070725200004","38.0847945139","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-08-02 10:47:00","40272","14","","C2","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1170975","217116"
"56","5568","Alcoholic Beverage Annual","THORNTON OIL #49","11710 DIXIE HWY ","11710"," ","DIXIE","HWY","-85.881070725200004","38.0847945139","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-08-02 10:47:00","40272","14","","C2","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","","Codes and Regulations","1170975","217116"
"57","5570","Alcoholic Beverage Annual","THORNTON OIL #21","2700 FERN VALLEY RD ","2700"," ","FERN VALLEY","RD","-85.715831801600004","38.156836368599997","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-08-02 10:49:00","40213","21","","C2","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1218946","242548"
"58","5571","Alcoholic Beverage Annual","CIRCLE K #3230","5000 SHEPHERDSVILLE RD ","5000"," ","SHEPHERDSVILLE","RD","-85.660212843799997","38.178207581199999","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-08-02 10:53:00","40228","02","","C1","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","","Codes and Regulations","1235056","250080"
"59","5575","Alcoholic Beverage Annual","CIRCLE K #134","6204 SHEPHERDSVILLE RD ","6204"," ","SHEPHERDSVILLE","RD","-85.660623629","38.1593928733","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-08-02 10:58:00","40228","02","","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1234833","243231"
"60","5577","Alcoholic Beverage Annual","THORNTON OIL #41","5318 PRESTON HWY ","5318"," ","PRESTON","HWY","-85.709226281100001","38.170681266999999","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-08-02 11:00:00","40213","21","","C1","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","","Codes and Regulations","1220925","247559"
"61","5589","Alcoholic Beverage Annual","THORNTON OIL #24","3726 TAYLORSVILLE RD ","3726"," ","TAYLORSVILLE","RD","-85.643898538599998","38.220463731400002","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-08-02 11:36:00","40220","26","AVONDALE MELBOURNE HEIGHTS","C1","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","","Codes and Regulations","1239978","265395"
"62","5594","Alcoholic Beverage Annual","CIRCLE K #3240","4600 WATTBOURNE LN ","4600"," ","WATTBOURNE","LN","-85.605318861000001","38.1849412567","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-08-02 12:47:00","40299","11","","C2","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1250870","252295"
"63","5627","Alcoholic Beverage Annual","WAL-MART SUPER CENTER #3294","7101 CEDAR SPRINGS BLVD ","7101"," ","CEDAR SPRINGS","BLVD","-85.587211005900002","38.142722325000001","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-08-16 10:27:00","40291","22","","C2","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","","Codes and Regulations","1255851","236846"
"64","14ABC1117","Alcoholic Beverage Annual","J AND C GAS STATION","4953 MANSLICK RD ","4953"," ","MANSLICK","RD","-85.797088796799997","38.170845464899998","2019-02-28 00:00:00","GRO","Grocery / Food Mart","2014-08-28 13:13:34","40216","15","HAZELWOOD","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","2014-08-28 13:13:34","Codes and Regulations","1195670","248031"
"65","14ABC1120","Alcoholic Beverage Annual","THORNTONS #162","9400 WESTPORT RD ","9400"," ","WESTPORT","RD","-85.5767802708","38.285404641500001","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2014-09-23 17:14:14","40241","17","","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","2014-09-23 17:14:14","Codes and Regulations","1259599","288757"
"66","14ABC1120","Alcoholic Beverage Annual","THORNTONS #162","9400 WESTPORT RD ","9400"," ","WESTPORT","RD","-85.5767802708","38.285404641500001","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2014-09-23 17:14:14","40241","17","","C1","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","2014-09-23 17:14:14","Codes and Regulations","1259599","288757"
"67","14ABC1122","Alcoholic Beverage Annual","LIQUOR ZONE","5610 S 3RD ST ","5610","S","3RD","ST","-85.768947299399997","38.168982445200001","2019-02-28 00:00:00","LIQ","Liquor Store","2014-08-28 13:11:56","40214","21","IROQUOIS","C2","LP2","Quota Retail Package (12 AM - 2 AM)","ACTIVE","2014-08-28 13:11:55","Codes and Regulations","1203748","247218"
"68","18342","Alcoholic Beverage Annual","VARANESE FUSION","2106 FRANKFORT AVE ","2106"," ","FRANKFORT","AVE","-85.708463910199995","38.253900024099998","2018-09-30 00:00:00","RST","Restaurant / Cafe","2007-08-14 12:53:29","40206","09","CLIFTON","C2","LD2","Quota Retail Drink (12 AM - 2 AM)","ACTIVE","","Codes and Regulations","1221624","277857"
"69","5805","Alcoholic Beverage Annual","LOUISVILLE BOAT CLUB","4200 RIVER RD ","4200"," ","RIVER","RD","-85.676597346199998","38.2919073172","2019-05-31 00:00:00","CLB","Country Club","2004-08-19 09:34:00","40207","07","","R4","PC","NQ3 Retail Drink (Private Club)","ACTIVE","","Codes and Regulations","1230988","291553"
"70","26768","Alcoholic Beverage Annual","SENOR IGUANAS CORP II","9424 SHELBYVILLE RD ","9424"," ","SHELBYVILLE","RD","-85.575455237100002","38.245848449900002","2019-01-31 00:00:00","RST","Restaurant / Cafe","2010-03-02 14:38:00","40222","18","","C2","RLD4","NQ2 Restaurant Liquor Drink (12 am till 4 am)","ACTIVE","","Codes and Regulations","1259772","274348"
"71","14ABC1211","Alcoholic Beverage Annual","CASH SAVER 1170","501 MOUNT HOLLY RD ","501"," ","MOUNT HOLLY","RD","-85.756517819300001","38.104188503800003","2019-03-31 00:00:00","GRO","Grocery / Food Mart","2015-01-29 16:11:30","40118","13","","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","2015-01-29 16:11:30","Codes and Regulations","1206935","223567"
"72","13ABC1077","Alcoholic Beverage Annual","CHILL BAR & PACKAGE IN THE HIGHLANDS","1117 BARDSTOWN RD ","1117"," ","BARDSTOWN","RD","-85.719988274000002","38.2382248989","2018-10-31 00:00:00","BAR","Bar","2013-10-16 15:08:34","40204","08","CHEROKEE TRIANGLE","(C2)","MBRD4","NQ4 Retail Malt Beverage Drink (12 am till 4 am)","ACTIVE","","Codes and Regulations","1218224","272202"
"73","7072","Alcoholic Beverage Annual","OWL CREEK COMMUNITY ASSN","10607 HOBBS STATION RD ","10607"," ","HOBBS STATION","RD","-85.556431666700007","38.258272777899997","2019-01-31 00:00:00","PRI","Private Club","2004-11-16 12:48:00","40223","18","","R4","PC","NQ3 Retail Drink (Private Club)","ACTIVE","","Codes and Regulations","1265299","278794"
